experiment,target,rho,n_seeds,frac_poly_D3_mean,frac_poly_D3_sd,frac_poly_D4_mean,frac_poly_D4_sd,frac_rbf_ridge_mean,frac_rbf_ridge_sd
order_probe_v2,monomial,0.0,3,0.9974943386487197,0.0005438439128728994,0.9950190628139214,0.0008471138257619115,1.0471267320253737,0.004402500521743926
order_probe_v2,monomial,0.3,3,0.647548794716141,0.017102438750347327,0.646073879251673,0.016788440930225208,0.6731885447481604,0.02064275310590959
order_probe_v2,monomial,0.5,3,0.3039700026236394,0.012207863054618807,0.3033009153638136,0.011956126536327948,0.30737364243938825,0.013683310476269047
order_probe_v2,monomial,0.7,3,0.08981901357834081,0.004185719359503821,0.08962605512100615,0.004077212992532092,0.09239234986675603,0.0022554685856644883
order_probe_v2,monomial,0.9,3,0.00777132442501938,0.00034285868213720304,0.007756740902311795,0.0003337063360336955,0.01263608778218466,0.004030541371106757
order_probe_v2,monomial,0.99,3,6.887514041733899e-05,2.505131189949721e-06,6.877576600167586e-05,2.455407966913908e-06,0.0059407259523235655,0.0052235028599106215
order_probe_v2,monomial,1.0,3,7.6119207615078845e-31,4.483533552730282e-31,1.2237306338360423e-30,3.194697286721335e-31,0.005777430512659697,0.005100744908019007
order_probe_v2,tanh_prod,0.0,3,0.9990646477357865,0.00012572767612418782,0.9984731608482967,0.00011461525439154533,1.011376127590877,0.0015176994919388594
order_probe_v2,tanh_prod,0.3,3,0.80891046113543,0.003910874960237812,0.8083098949294448,0.0040382289174013125,0.7826887829471437,0.001152836904634653
order_probe_v2,tanh_prod,0.5,3,0.5613745533312217,0.0036707769678413636,0.5607418182473244,0.00384218367927982,0.488400434128591,0.0034030980319861106
order_probe_v2,tanh_prod,0.7,3,0.3340548296185104,0.0020857757514846937,0.3333674531111375,0.0019965169794768094,0.20858349080216007,0.004969252061615563
order_probe_v2,tanh_prod,0.9,3,0.18703811468656886,0.0030096149716752935,0.1864057527301737,0.002657368972449542,0.026575268169784127,0.0008537588211222641
order_probe_v2,tanh_prod,0.99,3,0.15481950008853276,0.0035366101373611614,0.15424005736730698,0.00328573637521939,0.0004031888156413809,4.8023322532577886e-05
order_probe_v2,tanh_prod,1.0,3,0.15270704877136695,0.0038079092969705683,0.15223428864328323,0.00355780096012854,0.00012102559595221398,4.6819690336749794e-05
order_probe_v2,additive_index,0.0,3,0.018742582044078446,2.744379588102938e-05,0.018707787497931522,1.4804318127529205e-05,0.015970343959377395,0.00041732989474239115
order_probe_v2,additive_index,0.3,3,0.0166537708871625,0.00028720298044667265,0.016602224359150094,0.0002575055981719957,0.010773991220722383,0.0002416639273801377
order_probe_v2,additive_index,0.5,3,0.015955838825996892,0.00039315028614817757,0.01588280082897817,0.00035429703887245875,0.006746981930487207,0.0001955789109370294
order_probe_v2,additive_index,0.7,3,0.016414350301673267,0.0003378709485871211,0.01631565803695062,0.00030407406493054205,0.002999383980962235,5.248753977746054e-05
order_probe_v2,additive_index,0.9,3,0.017890238806286114,0.00010541489403016323,0.017759636459007848,0.00015913168471418115,0.0004185197770921532,1.210366138995403e-05
order_probe_v2,additive_index,0.99,3,0.01879695472250702,0.00025564222576225713,0.01864973536238423,0.0002840724057838531,1.585045670915558e-05,3.1425361268536414e-06
order_probe_v2,additive_index,1.0,3,0.018907878988478292,0.0003465835863036668,0.018778249335566388,0.0003576393862262473,1.074760625956954e-05,3.039034927460098e-06
