experiment,target,rho,seed,frac_poly_D3,frac_poly_D4,frac_rbf_ridge
order_probe_v2,monomial,0.0,0,0.9967333353462943,0.9938390878564216,1.0526941909778895
order_probe_v2,monomial,0.0,1,0.9977783789987458,0.9957883463479836,1.0467566236616708
order_probe_v2,monomial,0.0,2,0.9979713016011189,0.9954297542373588,1.0419293814365607
order_probe_v2,monomial,0.3,0,0.6705302404972516,0.6685424183120514,0.6618485552319403
order_probe_v2,monomial,0.3,1,0.629528908083461,0.6281949737140956,0.7021552852450281
order_probe_v2,monomial,0.3,2,0.6425872355677102,0.6414842457288722,0.6555617937675128
order_probe_v2,monomial,0.5,0,0.3208424077946099,0.31979064455945017,0.30752428916672453
order_probe_v2,monomial,0.5,1,0.29236530854369713,0.2918172136413538,0.3240563755727492
order_probe_v2,monomial,0.5,2,0.29870229153261113,0.29829488789063674,0.29054026257869103
order_probe_v2,monomial,0.7,0,0.0957050667702421,0.09535593160055947,0.09212861181227966
order_probe_v2,monomial,0.7,1,0.08633178738539561,0.08620264993815667,0.09527713362030608
order_probe_v2,monomial,0.7,2,0.08742018657938469,0.08731958382430235,0.08977130416768232
order_probe_v2,monomial,0.9,0,0.008255771064082752,0.008228320990168913,0.009446001730017544
order_probe_v2,monomial,0.9,1,0.007546756254890696,0.007536731974188407,0.010140237403261027
order_probe_v2,monomial,0.9,2,0.0075114459560846935,0.007505169742578069,0.018322024213275407
order_probe_v2,monomial,0.99,0,7.233979894031027e-05,7.21731421831297e-05,0.0020975742895181174
order_probe_v2,monomial,0.99,1,6.778361487595045e-05,6.769910583415176e-05,0.002398776167080162
order_probe_v2,monomial,0.99,2,6.650200743575628e-05,6.645504998774612e-05,0.013325827400372418
order_probe_v2,monomial,1.0,0,7.272030588495803e-31,1.6652990797315934e-30,0.0019557294053647264
order_probe_v2,monomial,1.0,1,1.3265155524878051e-30,9.201554572833544e-31,0.00238994657234608
order_probe_v2,monomial,1.0,2,2.2985761711497984e-31,1.0857373644931794e-30,0.012986615560268283
order_probe_v2,tanh_prod,0.0,0,0.999017361156193,0.9984384384269649,1.0124990655335597
order_probe_v2,tanh_prod,0.0,1,0.9989398519560696,0.9983534062323725,1.009230557800645
order_probe_v2,tanh_prod,0.0,2,0.9992367300950973,0.9986276378855528,1.0123987594384263
order_probe_v2,tanh_prod,0.3,0,0.8139954344196472,0.8134234354519885,0.7811400556549974
order_probe_v2,tanh_prod,0.3,1,0.8044839098829588,0.8035509174396788,0.7839043180156281
order_probe_v2,tanh_prod,0.3,2,0.8082520391036838,0.8079553318966671,0.7830219751708056
order_probe_v2,tanh_prod,0.5,0,0.5665466018276832,0.5661083657319161,0.4930567219478255
order_probe_v2,tanh_prod,0.5,1,0.5584020823413309,0.5573211916656745,0.4871262599202926
order_probe_v2,tanh_prod,0.5,2,0.559174975824651,0.5587958973443828,0.485018320517655
order_probe_v2,tanh_prod,0.7,0,0.3356858507559712,0.3353379125105862,0.21481648999591796
order_probe_v2,tanh_prod,0.7,1,0.3353678204627675,0.33413353360391257,0.20827812796214046
order_probe_v2,tanh_prod,0.7,2,0.3311108176367926,0.33063091321891386,0.20265585444842174
order_probe_v2,tanh_prod,0.9,0,0.18362021137972684,0.18330684888239018,0.02692029144940793
order_probe_v2,tanh_prod,0.9,1,0.19094368331966724,0.18979640290255764,0.027404792152769305
order_probe_v2,tanh_prod,0.9,2,0.18655044936031256,0.18611400640557327,0.025400720907175135
order_probe_v2,tanh_prod,0.99,0,0.1503268978018057,0.1499858536745643,0.0003533354210265992
order_probe_v2,tanh_prod,0.99,1,0.158969432082534,0.15798592679942083,0.00038817382364249504
order_probe_v2,tanh_prod,0.99,2,0.1551621703812586,0.15474839162793586,0.00046805720225504856
order_probe_v2,tanh_prod,1.0,0,0.14783973934011463,0.14761520503939216,9.008790208277574e-05
order_probe_v2,tanh_prod,1.0,1,0.15713625704334383,0.15627153745251787,8.579661819617931e-05
order_probe_v2,tanh_prod,1.0,2,0.15314514993064235,0.15281612343793957,0.0001871922675776869
order_probe_v2,additive_index,0.0,0,0.018711414582382364,0.01868691052608576,0.016022864261372022
