experiment,approach,condition,target,seed,frac_poly_D4,frac_poly_oos,frac_rbf_ridge,r2_order2,r2_order3,r2_gap,r2_rbf_pairwise
vdem_order_demo,B,real_std,monomial_c,0,0.46336617148222836,0.6810732801484171,0.4104646630082037,,,,
vdem_order_demo,B,real_std,tanh_prod_c,0,0.5036588977061088,0.7240254918792385,0.43837531414676567,,,,
vdem_order_demo,B,real_std,pairwise_control,0,0.00458328816065375,0.004906493690523609,1.12347376188234e-05,,,,
vdem_order_demo,B,real_std,monomial_c,1,0.46336617148222836,0.5702756978833126,0.3712918561674369,,,,
vdem_order_demo,B,real_std,tanh_prod_c,1,0.5036588977061088,0.6022498709383325,0.4117946218469084,,,,
vdem_order_demo,B,real_std,pairwise_control,1,0.00458328816065375,0.004681937937043421,1.306740948344162e-05,,,,
vdem_order_demo,B,real_std,monomial_c,2,0.46336617148222836,0.559199419432635,0.5146309368013838,,,,
vdem_order_demo,B,real_std,tanh_prod_c,2,0.5036588977061088,0.6028577194613975,0.577234771903495,,,,
vdem_order_demo,B,real_std,pairwise_control,2,0.00458328816065375,0.004620013475216682,1.2399568687988623e-05,,,,
vdem_order_demo,B,gauss_scores,monomial_c,0,0.49756945998602614,0.7380587076881899,0.4096169444446397,,,,
vdem_order_demo,B,gauss_scores,tanh_prod_c,0,0.5584266183230515,0.834985107175463,0.4398465468375394,,,,
vdem_order_demo,B,gauss_scores,pairwise_control,0,0.011027146803097548,0.011613082589660454,1.4472972077007028e-05,,,,
vdem_order_demo,B,gauss_scores,monomial_c,1,0.49756945998602614,0.6705517600907348,0.3277300674879326,,,,
vdem_order_demo,B,gauss_scores,tanh_prod_c,1,0.5584266183230515,0.7045195254682859,0.3687658143855045,,,,
vdem_order_demo,B,gauss_scores,pairwise_control,1,0.011027146803097548,0.011761560431297,1.1765254826047093e-05,,,,
vdem_order_demo,B,gauss_scores,monomial_c,2,0.49756945998602614,0.5953490575873662,0.5126846308769557,,,,
vdem_order_demo,B,gauss_scores,tanh_prod_c,2,0.5584266183230515,0.6595794889618212,0.6026343243601939,,,,
vdem_order_demo,B,gauss_scores,pairwise_control,2,0.011027146803097548,0.012453490970170584,1.303689459871017e-05,,,,
vdem_order_demo,B,permuted_gauss,monomial_c,0,0.9523320165971522,1.0174103832813168,1.048080354285587,,,,
vdem_order_demo,B,permuted_gauss,tanh_prod_c,0,0.9745386964363357,1.0359463794083779,1.0735333128056692,,,,
vdem_order_demo,B,permuted_gauss,pairwise_control,0,0.01053652760671729,0.01085060294726193,2.3013332876938685e-05,,,,
vdem_order_demo,B,permuted_gauss,monomial_c,1,0.9080042003532638,1.4004314573895817,1.6773997136864058,,,,
vdem_order_demo,B,permuted_gauss,tanh_prod_c,1,0.9520327109350069,1.098061725938724,1.4452474891425457,,,,
vdem_order_demo,B,permuted_gauss,pairwise_control,1,0.010800225827859323,0.010727600166032603,2.121192123365891e-05,,,,
vdem_order_demo,B,permuted_gauss,monomial_c,2,0.8549532640207019,1.998846388868836,1.3111111195329628,,,,
vdem_order_demo,B,permuted_gauss,tanh_prod_c,2,0.9340077427757555,1.406465827203625,1.1218017279152352,,,,
vdem_order_demo,B,permuted_gauss,pairwise_control,2,0.010159833784907726,0.011161577659756198,2.135184899133236e-05,,,,
vdem_order_demo,A,real_std,upturn,0,nan,nan,nan,0.022177491249474435,0.02194980251719414,-0.00022768873228029562,0.0237052494083706
vdem_order_demo,A,real_std,upturn,1,nan,nan,nan,0.005391812976812349,1.59759864093445e-06,-0.005390215378171415,0.005591689003425326
vdem_order_demo,A,real_std,upturn,2,nan,nan,nan,0.018900404599283327,0.023571786967796715,0.004671382368513388,0.016708171395546367
vdem_order_demo,A,real_std,upturn,3,nan,nan,nan,0.035393360494247905,0.03707302131062973,0.0016796608163818227,0.03838582502584453
vdem_order_demo,A,real_std,upturn,4,nan,nan,nan,0.036833112578714466,0.03674531359309763,-8.779898561683819e-05,0.05185556631776278
vdem_order_demo,A,gauss_scores,upturn,0,nan,nan,nan,0.018408299846195075,0.01804340416083272,-0.00036489568536235417,0.01820236624075966
vdem_order_demo,A,gauss_scores,upturn,1,nan,nan,nan,-0.0807831816290403,-0.0831343037595158,-0.0023511221304755026,-0.0038629121963640323
vdem_order_demo,A,gauss_scores,upturn,2,nan,nan,nan,-0.02434471620181733,-0.01829238297362812,0.006052333228189211,-0.04787042125823593
vdem_order_demo,A,gauss_scores,upturn,3,nan,nan,nan,-0.004850268433080895,-0.005248447296772429,-0.000398178863691534,-0.017016670333153794
vdem_order_demo,A,gauss_scores,upturn,4,nan,nan,nan,0.03702971631480623,0.038473193500569325,0.001443477185763098,0.03676386152258648
