experiment,target,rho,n_seeds,frac_poly_D3_mean,frac_poly_D3_sd,frac_poly_D4_mean,frac_poly_D4_sd,frac_rbf_ridge_mean,frac_rbf_ridge_sd
equicorr_probe,monomial,0.0,3,0.9968223902347549,0.0010207662733952754,0.9939500686863448,0.0012825826228192476,1.0593743246073355,0.028473102670857432
equicorr_probe,monomial,0.3,3,0.32401755763713574,0.0022492426021159372,0.3233991586467274,0.002507986583580735,0.32800755580029145,0.012906036382574945
equicorr_probe,monomial,0.5,3,0.06727336623387635,0.0006040958871674531,0.06716983307711656,0.0006533121750625729,0.06910858017656259,0.00297209259065467
equicorr_probe,monomial,0.7,3,0.008253814672551983,9.5990822562158e-05,0.008241697877737448,9.87998890629703e-05,0.008953778043862206,0.0004553423821102945
equicorr_probe,monomial,0.9,3,0.00018562064351596336,2.1241437296803833e-06,0.00018532682658107188,2.1206248388306646e-06,0.0006023295798889295,0.0003481853909237395
equicorr_probe,monomial,0.99,3,1.5159677248999236e-07,1.3362840965739036e-09,1.5132922010132118e-07,1.304538285061409e-09,0.0001947335835439274,0.0001478737432386446
equicorr_probe,monomial,1.0,3,5.004792127941728e-32,4.073041632927314e-33,4.9843050093174205e-31,4.912446709833401e-31,0.00019500194729511918,0.000144311031447302
equicorr_probe,tanh_prod,0.0,3,0.9992163600670393,0.00021935716410955526,0.9984711365303208,0.00023977845638884645,1.0137082748325976,0.0028532470059666336
equicorr_probe,tanh_prod,0.3,3,0.6376124285230595,0.0016738077262396056,0.6372414489823892,0.0016135341505283832,0.5727351095756456,0.008502739476821845
equicorr_probe,tanh_prod,0.5,3,0.35214080016243576,0.0015061270077095055,0.35174232837288727,0.0016049087546379317,0.24263968838014702,0.005172420027552192
equicorr_probe,tanh_prod,0.7,3,0.16542055851461876,0.0005684105587084524,0.16508512748456852,0.0007445419708974292,0.060265722786674226,0.0026016027235955096
equicorr_probe,tanh_prod,0.9,3,0.06420899467231045,0.00015022921874467882,0.06410200512743595,0.00016434846153026743,0.002809705195497786,0.0002812942432912218
equicorr_probe,tanh_prod,0.99,3,0.039823652734177525,0.00014566243875215135,0.039788258721825086,0.0001565996179311047,6.037447286904713e-06,3.082348517632634e-07
equicorr_probe,tanh_prod,1.0,3,0.03773791083523443,0.00017702445177235685,0.037729968484997566,0.00017998245957106165,2.4566053182248956e-06,5.81625445552012e-07
equicorr_probe,pairwise_control,0.0,3,0.01798628948613552,0.0004210354012108483,0.01792802278516524,0.000434453858602211,2.8231790603038502e-05,2.7296170609797195e-06
equicorr_probe,pairwise_control,0.3,3,0.02406925363478155,0.0006447790443079284,0.02397588290886447,0.0005930897087116185,2.4111341232483367e-05,1.6980364290402309e-06
equicorr_probe,pairwise_control,0.5,3,0.03196679841541631,0.0003003140725954683,0.03184485851959501,0.0003194467110943531,1.773263232370703e-05,1.4378593113291728e-06
equicorr_probe,pairwise_control,0.7,3,0.04275668390579666,0.00015692936027529784,0.04254557181768931,0.0001528477225588791,1.2578091769529e-05,7.245671658696283e-07
equicorr_probe,pairwise_control,0.9,3,0.056626297141000585,0.00034700528804938426,0.0562968014956838,0.00020687613562621828,1.1014472957494686e-05,1.3421739080868708e-07
equicorr_probe,pairwise_control,0.99,3,0.06402247566827467,0.00019754189973507087,0.06363293053563417,7.659069600268106e-05,1.119084822496158e-05,5.4608318032158477e-08
equicorr_probe,pairwise_control,1.0,3,0.06491809491558842,4.420026702505345e-05,0.06475554390050432,0.00016022537824023428,1.0348832555643968e-05,6.350880255854563e-08
equicorr_probe,additive_index,0.0,3,0.018726882838810435,0.00019328078486083333,0.018690352671668863,0.000198319649581071,0.015883824958127703,0.00018025111307801668
equicorr_probe,additive_index,0.3,3,0.01961199405676757,0.00048133501479902897,0.019544263617844355,0.0004396865110353628,0.006612881885583059,0.00011820436797285102
equicorr_probe,additive_index,0.5,3,0.024637492105846415,0.00021428078156400429,0.02453314066925147,0.00023846548774679574,0.002939663302956589,0.00012957137080697232
equicorr_probe,additive_index,0.7,3,0.030491385011320555,0.00012064464401119075,0.030313012662036922,0.00011653536816109415,0.0007953403539047173,6.782679252659295e-05
equicorr_probe,additive_index,0.9,3,0.03627456206025934,0.0002724100102843916,0.03601069756100792,0.00015770767650453873,4.1248203940583546e-05,5.741263684564177e-06
equicorr_probe,additive_index,0.99,3,0.03873778852869232,0.00018058576364224905,0.0384314315764538,5.6793106175474754e-05,7.802072560293393e-07,1.4116671434212903e-07
equicorr_probe,additive_index,1.0,3,0.03902348578075674,7.769070721174558e-05,0.03889398663448248,0.00014161121265015878,6.093343241220616e-07,1.4741180447224718e-07
