experiment,target,rho,seed,frac_poly_D3,frac_poly_D4,frac_rbf_ridge
equicorr_probe,monomial,0.0,0,0.9957009997755013,0.9934700220312613,1.023124642405859
equicorr_probe,monomial,0.0,1,0.9965958064441016,0.9926752673761003,1.0926829323282756
equicorr_probe,monomial,0.0,2,0.9981703644846618,0.9957049166516728,1.0623153990878713
equicorr_probe,monomial,0.3,0,0.32675857653289175,0.3263573001589056,0.32433600983659455
equicorr_probe,monomial,0.3,1,0.3240448142585953,0.3236147985298264,0.34532681919418423
equicorr_probe,monomial,0.3,2,0.3212492821199202,0.32022537725145017,0.3143598383700956
equicorr_probe,monomial,0.5,0,0.06743819457824643,0.06736135835517736,0.06630347363068727
equicorr_probe,monomial,0.5,1,0.06791691450838405,0.06785683077690342,0.07322195149961946
equicorr_probe,monomial,0.5,2,0.06646498961499857,0.06629131009926893,0.06780031539938103
equicorr_probe,monomial,0.7,0,0.008236695548306576,0.00822568181627836,0.008331846303895146
equicorr_probe,monomial,0.7,1,0.008378999955307153,0.008369912985836782,0.009409331985743024
equicorr_probe,monomial,0.7,2,0.008145748514042218,0.0081294988310972,0.009120155841948446
equicorr_probe,monomial,0.9,0,0.00018469373269266458,0.00018438261235304525,0.0003902204254246013
equicorr_probe,monomial,0.9,1,0.00018855869124166156,0.00018826407449822248,0.00032353759078147196
equicorr_probe,monomial,0.9,2,0.00018360950661356395,0.00018333379289194786,0.001093230723460715
equicorr_probe,monomial,0.99,0,1.506676294291411e-07,1.5037521185607324e-07,0.0001274116512327495
equicorr_probe,monomial,0.99,1,1.5348647652635856e-07,1.5317375170329817e-07,5.692798158336794e-05
equicorr_probe,monomial,0.99,2,1.506362115144774e-07,1.504386967445921e-07,0.0003998611178156648
equicorr_probe,monomial,1.0,0,4.849137621774349e-32,2.6845884292265908e-31,0.00014263452307699317
equicorr_probe,monomial,1.0,1,4.6023342800846024e-32,4.56868454644005e-32,5.035899182372094e-05
equicorr_probe,monomial,1.0,2,5.562904481966235e-32,1.1811458144081666e-30,0.0003920123269846434
equicorr_probe,tanh_prod,0.0,0,0.9989069302936789,0.9982403275096621,1.0108117140402877
equicorr_probe,tanh_prod,0.0,1,0.9993902128660374,0.9983713993217548,1.0175894504993974
equicorr_probe,tanh_prod,0.0,2,0.9993519370414017,0.9988016827595455,1.0127236599581078
equicorr_probe,tanh_prod,0.3,0,0.6361057499113044,0.6358472813657977,0.5617452187547812
equicorr_probe,tanh_prod,0.3,1,0.639946871281368,0.6395029691668338,0.5740037572297468
equicorr_probe,tanh_prod,0.3,2,0.6367846643765062,0.6363740964145361,0.5824563527424087
equicorr_probe,tanh_prod,0.5,0,0.35167113398345906,0.3511784254162672,0.2355840136925574
equicorr_probe,tanh_prod,0.5,1,0.3541748520005126,0.3539282515573176,0.24783904731797377
equicorr_probe,tanh_prod,0.5,2,0.35057641450333576,0.35012030814507705,0.24449600412990982
equicorr_probe,tanh_prod,0.7,0,0.16537089487044918,0.16500008652732653,0.05774447966094147
equicorr_probe,tanh_prod,0.7,1,0.1661402183634215,0.16603654297711318,0.0638469056874152
equicorr_probe,tanh_prod,0.7,2,0.16475056230998564,0.16421875294926588,0.059205783011666006
equicorr_probe,tanh_prod,0.9,0,0.06399905665222938,0.06389957454574513,0.002598632459332429
equicorr_probe,tanh_prod,0.9,1,0.06434220811614395,0.06430212451277843,0.0032072619430044418
equicorr_probe,tanh_prod,0.9,2,0.06428571924855801,0.06410431632378429,0.0026232211841564863
equicorr_probe,tanh_prod,0.99,0,0.039719415473121,0.03968003010229755,6.381011711803752e-06
equicorr_probe,tanh_prod,0.99,1,0.04002964554756442,0.040009705290704134,5.633316843947351e-06
equicorr_probe,tanh_prod,0.99,2,0.039721897181847154,0.03967504077247356,6.098013304963037e-06
equicorr_probe,tanh_prod,1.0,0,0.03764311004007323,0.03764286339340699,2.954685357824075e-06
equicorr_probe,tanh_prod,1.0,1,0.03798597535944349,0.037980644317494566,1.6406707368135154e-06
equicorr_probe,tanh_prod,1.0,2,0.03758464710618659,0.03756639774409113,2.7744598600370974e-06
equicorr_probe,pairwise_control,0.0,0,0.017430849254416805,0.01734966929656337,2.5688354391972486e-05
equicorr_probe,pairwise_control,0.0,1,0.018449807409706285,0.01839679815014033,2.698867011940402e-05
equicorr_probe,pairwise_control,0.0,2,0.018078211794283473,0.018037600908792025,3.2018347297739006e-05
equicorr_probe,pairwise_control,0.3,0,0.023557312604505033,0.02348477701776467,2.500571817402349e-05
equicorr_probe,pairwise_control,0.3,1,0.02497871271914465,0.024810285883424096,2.173411157397856e-05
equicorr_probe,pairwise_control,0.3,2,0.023671735580694964,0.023632585825404652,2.5594193949448054e-05
equicorr_probe,pairwise_control,0.5,0,0.03164778380466068,0.03150114600617861,1.7851369992296267e-05
equicorr_probe,pairwise_control,0.5,1,0.03236911237616345,0.03227061551071379,1.5915257481656038e-05
equicorr_probe,pairwise_control,0.5,2,0.03188349906542481,0.03176281404189263,1.9431269497168784e-05
equicorr_probe,pairwise_control,0.7,0,0.04259492396491013,0.0423297392629252,1.2614755933331032e-05
equicorr_probe,pairwise_control,0.7,1,0.04270597539909275,0.04264319874790293,1.167291800440372e-05
equicorr_probe,pairwise_control,0.7,2,0.042969152353387094,0.0426637774422398,1.3446601370852243e-05
equicorr_probe,pairwise_control,0.9,0,0.05651817818420664,0.056121592090839355,1.1034267631810363e-05
equicorr_probe,pairwise_control,0.9,1,0.05626580659432495,0.056181495253162184,1.0841089871279659e-05
equicorr_probe,pairwise_control,0.9,2,0.05709490664447016,0.05658731714304985,1.1168061369394035e-05
equicorr_probe,pairwise_control,0.99,0,0.06402614834562442,0.0635293628003815,1.117004235239467e-05
