experiment,target,rho,seed,frac_poly_D3,frac_poly_D4,frac_rbf_ridge,frac_ebm,nid_share3
nid_ebm_order_probe,monomial,0.0,0,0.995166079028964,0.9882852721531858,1.1226035725558905,1.0184301050837639,0.6974518627561749
nid_ebm_order_probe,monomial,0.0,1,0.993338927174863,0.9848278897996687,1.09609983579375,0.9984190151193106,0.7112434580449302
nid_ebm_order_probe,monomial,0.0,2,0.9939459117391803,0.9777793755054897,1.0508222058062424,nan,0.6194664165675329
nid_ebm_order_probe,monomial,0.3,0,0.6674650799827798,0.6633326834482699,0.7392932427244059,0.7195239336381093,0.5764515421003653
nid_ebm_order_probe,monomial,0.3,1,0.630327958836365,0.6257796985670776,0.738001142454164,0.7523126431235623,0.6059825293866772
nid_ebm_order_probe,monomial,0.3,2,0.6156923275039011,0.6004690489442097,0.697321974227248,nan,0.6208395079595961
nid_ebm_order_probe,monomial,0.5,0,0.310370988926305,0.30834432019826996,0.3324116961027983,0.3680052425873367,0.5281629834913438
nid_ebm_order_probe,monomial,0.5,1,0.29820619613572413,0.29580718331027933,0.33730059518354594,0.4156562011774049,0.6632892002118433
nid_ebm_order_probe,monomial,0.5,2,0.2851204431152714,0.27794816796305005,0.32559327284564094,nan,0.591662097083074
nid_ebm_order_probe,monomial,0.7,0,0.08948446264607174,0.08898666405291135,0.10832236344101949,0.15462637769597104,0.601385511197661
nid_ebm_order_probe,monomial,0.7,1,0.09011979994485218,0.08926297031298032,0.10402187776631035,0.16687785442511946,0.620807989582972
nid_ebm_order_probe,monomial,0.7,2,0.08441983411869904,0.08237746646469934,0.10557168617194203,nan,0.6173637680716811
nid_ebm_order_probe,monomial,0.9,0,0.007482169071752814,0.007454356943340734,0.04016721559346738,0.06387878034678551,0.6598324359925651
nid_ebm_order_probe,monomial,0.9,1,0.008061192110032443,0.007973251522286947,0.02602556202293376,0.06200042276986259,0.6639216798208214
nid_ebm_order_probe,monomial,0.9,2,0.0074238309282537406,0.007252629693240006,0.019070642441811062,nan,0.6891449959406437
nid_ebm_order_probe,monomial,0.99,0,6.465646796247212e-05,6.444081719697872e-05,0.026133145850711595,0.06284206932570123,0.6240465681710515
nid_ebm_order_probe,monomial,0.99,1,7.315424192387487e-05,7.229248607183115e-05,0.012621484816603955,0.05106148553763577,0.6782363365065587
nid_ebm_order_probe,monomial,0.99,2,6.703497240011862e-05,6.567320272825479e-05,0.011732937188566944,nan,0.6414158429099635
nid_ebm_order_probe,monomial,1.0,0,6.596225947249393e-31,2.964625306214242e-31,0.022491415427646873,0.06737388381813024,0.6391160540841634
nid_ebm_order_probe,monomial,1.0,1,3.4914432215598268e-31,1.074178998512127e-30,0.009867792952727687,0.044843518730968306,0.6850177048308393
nid_ebm_order_probe,monomial,1.0,2,2.952923660080136e-30,6.395176490189151e-31,0.012164460178908437,nan,0.6319271154530631
nid_ebm_order_probe,tanh_prod,0.0,0,0.9980402073988679,0.9966746235649275,1.050501289396441,1.0014107762846207,0.7055233288895284
nid_ebm_order_probe,tanh_prod,0.0,1,0.9972945311376578,0.9949376199910802,1.0314282348877513,0.9996901999354618,0.6975404684790433
nid_ebm_order_probe,tanh_prod,0.0,2,0.9971572206029082,0.9944213985251711,1.0306365740035495,nan,0.7394810177008492
nid_ebm_order_probe,tanh_prod,0.3,0,0.811998842347074,0.8108025006276668,0.838596295464856,0.8013364877415156,0.6730687761209732
nid_ebm_order_probe,tanh_prod,0.3,1,0.796195529299154,0.7942792683656548,0.7890770885266769,0.8168717984628399,0.7089367125494357
nid_ebm_order_probe,tanh_prod,0.3,2,0.7837157274543262,0.7797339839545431,0.7830148723363962,nan,0.7310278291038534
nid_ebm_order_probe,tanh_prod,0.5,0,0.5559547042716283,0.5542696255039369,0.5251870662721126,0.49257867007571937,0.6689527263200722
nid_ebm_order_probe,tanh_prod,0.5,1,0.5497428797378783,0.5481671452029028,0.47943439449091324,0.5299769868254738,0.7530693599776221
nid_ebm_order_probe,tanh_prod,0.5,2,0.541754973265656,0.5387304322498724,0.493919279041559,nan,0.7252501728387736
nid_ebm_order_probe,tanh_prod,0.7,0,0.32581429936505013,0.3237630378316091,0.2160155759138663,0.20460613997070978,0.6394059465288104
nid_ebm_order_probe,tanh_prod,0.7,1,0.32686505694614787,0.32596238774528624,0.18932302904481454,0.23471769141049098,0.7472325683877304
nid_ebm_order_probe,tanh_prod,0.7,2,0.3294785373458036,0.32700776498114587,0.2191920454200532,nan,0.6876612122710944
nid_ebm_order_probe,tanh_prod,0.9,0,0.18435076261420416,0.1823180271344154,0.027124162399613377,0.026079579329340616,0.666729648340514
nid_ebm_order_probe,tanh_prod,0.9,1,0.18349565603370127,0.18263102390820352,0.02315963857663351,0.031568687822996884,0.7361192514135222
nid_ebm_order_probe,tanh_prod,0.9,2,0.19077066415024546,0.18901159284558738,0.029208541363746916,nan,0.6883545959463442
nid_ebm_order_probe,tanh_prod,0.99,0,0.15461513441172647,0.1529491139069171,0.0007073473718264018,0.000824611200344937,0.7416261233331364
nid_ebm_order_probe,tanh_prod,0.99,1,0.15025038962494303,0.14938322083601305,0.0005643531776901443,0.0009162650446017948,0.7576095008692473
nid_ebm_order_probe,tanh_prod,0.99,2,0.15780174055712717,0.15641679861485,0.0007451099989550456,nan,0.6984813334636609
nid_ebm_order_probe,tanh_prod,1.0,0,0.1534279672200271,0.15204088348828754,0.00038006382513712484,0.0007034245706512619,0.7395123606447315
nid_ebm_order_probe,tanh_prod,1.0,1,0.14764282564159334,0.14712966255636872,0.0002768054920947954,0.0007303631979154978,0.7584057301007046
nid_ebm_order_probe,tanh_prod,1.0,2,0.15463545725869968,0.15346519462913658,0.0004796710492085697,nan,0.6856260436133782
nid_ebm_order_probe,pairwise_control,0.0,0,0.01830222235322578,0.017968715799598526,4.5283233979626086e-05,nan,nan
nid_ebm_order_probe,pairwise_control,0.0,1,0.01783757091806805,0.017596148143239215,4.298071634609318e-05,nan,nan
nid_ebm_order_probe,pairwise_control,0.0,2,0.01812300733852073,0.017799958561124582,4.2739566422338034e-05,nan,nan
nid_ebm_order_probe,pairwise_control,0.3,0,0.019687915839849426,0.019326701097269503,4.163936323025827e-05,nan,nan
nid_ebm_order_probe,pairwise_control,0.3,1,0.019078149424042314,0.018943595657573944,3.891918067502174e-05,nan,nan
nid_ebm_order_probe,pairwise_control,0.3,2,0.019348196940311577,0.019205737851338753,3.6880371860112783e-05,nan,nan
nid_ebm_order_probe,pairwise_control,0.5,0,0.02119657917256984,0.020815177551762522,4.035937870790231e-05,nan,nan
nid_ebm_order_probe,pairwise_control,0.5,1,0.02034984795459341,0.02025039160105243,3.422899417659188e-05,nan,nan
nid_ebm_order_probe,pairwise_control,0.5,2,0.020803318457783028,0.020656746860699536,3.5511887157148145e-05,nan,nan
nid_ebm_order_probe,pairwise_control,0.7,0,0.023272857842661924,0.022850497338613277,3.3583749007918534e-05,nan,nan
nid_ebm_order_probe,pairwise_control,0.7,1,0.02235684183013914,0.02223869640707107,3.0820793131933976e-05,nan,nan
nid_ebm_order_probe,pairwise_control,0.7,2,0.022975982409269513,0.022778751903464154,3.112131859284288e-05,nan,nan
nid_ebm_order_probe,pairwise_control,0.9,0,0.026448316733884952,0.02597162805987689,3.2552062783134895e-05,nan,nan
nid_ebm_order_probe,pairwise_control,0.9,1,0.025705242072427227,0.025495110298901575,3.13487934092642e-05,nan,nan
nid_ebm_order_probe,pairwise_control,0.9,2,0.02613662502557582,0.02589490733846207,2.9155034421644593e-05,nan,nan
nid_ebm_order_probe,pairwise_control,0.99,0,0.028511674485191804,0.02803843683610566,3.62702871848657e-05,nan,nan
nid_ebm_order_probe,pairwise_control,0.99,1,0.028017498702106673,0.027690960152218475,3.3395312079913704e-05,nan,nan
nid_ebm_order_probe,pairwise_control,0.99,2,0.02788688204378667,0.027643465068133023,3.122203136975196e-05,nan,nan
nid_ebm_order_probe,pairwise_control,1.0,0,0.028850528319259758,0.02846639174456418,3.5017728870431716e-05,nan,nan
nid_ebm_order_probe,pairwise_control,1.0,1,0.02838828679740294,0.02811998141314635,3.301299388861733e-05,nan,nan
nid_ebm_order_probe,pairwise_control,1.0,2,0.028009844404622893,0.027842079780317757,3.099402564517078e-05,nan,nan
