experiment,target,rho,n_seeds,frac_poly_D3_mean,frac_poly_D3_sd,frac_poly_D4_mean,frac_poly_D4_sd,frac_rbf_ridge_mean,frac_rbf_ridge_sd,frac_ebm_mean,frac_ebm_sd,nid_share3_mean,nid_share3_sd
nid_ebm_order_probe,monomial,0.0,3,0.9941503059810025,0.0007598042419174818,0.983630845819448,0.00437173892259174,1.0898418713852942,0.029636832287037628,1.0084245601015374,0.01000554498222661,0.6760539124562127,0.04040759452846883
nid_ebm_order_probe,monomial,0.3,3,0.6378284554410153,0.021791398330489452,0.6298604769865191,0.025825681019048346,0.7248721198019393,0.019488035161214574,0.7359182883808357,0.01639435474272649,0.6010911931488795,0.01844842822434933
nid_ebm_order_probe,monomial,0.5,3,0.29789920939243353,0.010310777422489977,0.2940332238238665,0.012472415346709226,0.33176852137732843,0.00480108351496582,0.3918307218823708,0.02382547929503412,0.5943714269287538,0.055198302887307246
nid_ebm_order_probe,monomial,0.7,3,0.08800803223654098,0.002550462398660132,0.08687570027686368,0.0031827312022865025,0.10597197579309063,0.0017783359441144412,0.16075211606054524,0.00612573836457421,0.6131857562841048,0.008461678459573433
nid_ebm_order_probe,monomial,0.9,3,0.007655730703346332,0.0002876920216488914,0.00756007938628923,0.0003035422884673434,0.028421140019404063,0.008777639969022654,0.06293960155832405,0.0009391787884614616,0.6709663705846767,0.012962183294650808
nid_ebm_order_probe,monomial,0.99,3,6.828189409548853e-05,3.5794925953791994e-06,6.746883533235488e-05,3.447743065326655e-06,0.016829189285294165,0.006588883823036247,0.0569517774316685,0.005890291894032729,0.6478995825291912,0.022592947390007074
nid_ebm_order_probe,monomial,1.0,3,1.320563525653686e-30,1.1611915994020695e-30,6.700530593841554e-31,3.1823475042985468e-31,0.014841222853094332,0.005490158158484284,0.05610870127454927,0.011265182543580967,0.6520202914560219,0.023516549870702615
nid_ebm_order_probe,tanh_prod,0.0,3,0.9974973197131446,0.000387950877664319,0.9953445473603929,0.0009638285403771057,1.0375220327625805,0.009183409273053241,1.0005504881100413,0.0008602881745794488,0.7141816050231403,0.018183815632975858
nid_ebm_order_probe,tanh_prod,0.3,3,0.7973033663668514,0.011573075771966488,0.7949385843159549,0.0126922339827361,0.8035627521093097,0.024895775897638178,0.8091041431021777,0.007767655360662151,0.7043444392580875,0.023883462704765736
nid_ebm_order_probe,tanh_prod,0.5,3,0.5491508524250542,0.005812111630887111,0.5470557343189041,0.006392342156132032,0.4995135799348616,0.019092736762848585,0.5112778284505965,0.018699158374877206,0.715757419712156,0.03499034424820461
nid_ebm_order_probe,tanh_prod,0.7,3,0.3273859645523339,0.0015405991357338728,0.3255777301860137,0.0013522905622595496,0.208176883459578,0.013394609845027357,0.2196619156906004,0.015055775719890599,0.6914332423958784,0.044100765328380566
nid_ebm_order_probe,tanh_prod,0.9,3,0.1862056942660503,0.00324674342982949,0.18465354796273545,0.0030842511944624445,0.0264974474466646,0.0025089021445211536,0.02882413357616875,0.002744554246828134,0.6970678319001268,0.028990453764956556
nid_ebm_order_probe,tanh_prod,0.99,3,0.15422242153126556,0.0030953075000834766,0.1529163777859267,0.002871539405144955,0.000672270182823864,7.785055769309e-05,0.0008704381224733659,4.5826922128428904e-05,0.7325723192220148,0.02497350024656378
nid_ebm_order_probe,tanh_prod,1.0,3,0.15190208337344002,0.0030518262694213447,0.15087858022459763,0.002713909028057219,0.0003788467888134967,8.282398786515204e-05,0.0007168938842833799,1.3469313632117946e-05,0.7278480447862714,0.030835724840221942
nid_ebm_order_probe,pairwise_control,0.0,3,0.018087600203271516,0.0001913382484301057,0.01778827416798744,0.00015232434347690443,4.36678389160191e-05,1.1464915263754727e-06,nan,nan,nan,nan
nid_ebm_order_probe,pairwise_control,0.3,3,0.01937142073473444,0.00024947715851637874,0.01915867820206073,0.0001599028922475756,3.9146305255130934e-05,1.949476664209677e-06,nan,nan,nan,nan
nid_ebm_order_probe,pairwise_control,0.5,3,0.020783248528315427,0.00034596776384088044,0.020574105337838162,0.00023786271741701607,3.670008668054745e-05,2.6399832330259588e-06,nan,nan,nan,nan
nid_ebm_order_probe,pairwise_control,0.7,3,0.022868560694023526,0.0003815983075428293,0.022622648549716167,0.00027307054979437695,3.184195357756513e-05,1.2377310906287703e-06,nan,nan,nan,nan
nid_ebm_order_probe,pairwise_control,0.9,3,0.02609672794396267,0.00030466792957367336,0.02578721523241351,0.00020891064502973915,3.1018630204681226e-05,1.4063442509897171e-06,nan,nan,nan,nan
nid_ebm_order_probe,pairwise_control,0.99,3,0.02813868507702838,0.00026907991602154885,0.02779095401881905,0.00017606770362970877,3.362921021151045e-05,2.067567483087436e-06,nan,nan,nan,nan
nid_ebm_order_probe,pairwise_control,1.0,3,0.02841621984042853,0.0003437756557716023,0.028142817646009427,0.0002553853001823438,3.3008249468073274e-05,1.6426733887961485e-06,nan,nan,nan,nan
