experiment,condition,target,seed,frac_poly_D4,frac_poly_oos,frac_rbf_ridge
beijing_order_demo,real_std,monomial_c,0,0.0200557482352415,0.019892144469312343,0.0179044524284891
beijing_order_demo,real_std,tanh_prod_c,0,0.10450075607756705,0.1194496109094832,0.03898229007960733
beijing_order_demo,real_std,pairwise_control,0,0.00893872687213805,0.01000793988535102,2.2410931742231147e-05
beijing_order_demo,gauss_scores,monomial_c,0,0.02881426040146533,0.030348184203186836,0.026172290090628506
beijing_order_demo,gauss_scores,tanh_prod_c,0,0.15804566755103655,0.1573518021592338,0.03022676654874928
beijing_order_demo,gauss_scores,pairwise_control,0,0.01605397429115493,0.01615067929838394,3.347483761615652e-05
beijing_order_demo,permuted_gauss,monomial_c,0,0.9955500374414306,1.0017757690734164,1.0289028410703653
beijing_order_demo,permuted_gauss,tanh_prod_c,0,0.9987932728159323,1.000856016101006,1.0085040619430188
beijing_order_demo,permuted_gauss,pairwise_control,0,0.01755849135095635,0.01860951836307802,2.557854615066486e-05
beijing_order_demo,real_std,monomial_c,1,0.021544424175727835,0.022028110645932963,0.021810485031734703
beijing_order_demo,real_std,tanh_prod_c,1,0.1018557348518861,0.10418167848155623,0.04062781971321552
beijing_order_demo,real_std,pairwise_control,1,0.008524003798152335,0.008406303471589495,2.1689989156417448e-05
beijing_order_demo,gauss_scores,monomial_c,1,0.02808122285280518,0.027949021059893907,0.028113163698928367
beijing_order_demo,gauss_scores,tanh_prod_c,1,0.1570091690705425,0.1546703851940393,0.031436885361524086
beijing_order_demo,gauss_scores,pairwise_control,1,0.015574502915251469,0.01551754097042844,2.904691887180695e-05
beijing_order_demo,permuted_gauss,monomial_c,1,0.9877396795331096,1.0127676423848162,1.0300963015451061
beijing_order_demo,permuted_gauss,tanh_prod_c,1,0.9974134754887578,1.0025051696201337,1.0121095362011234
beijing_order_demo,permuted_gauss,pairwise_control,1,0.01744853565618402,0.018000255504012543,2.762732799880221e-05
beijing_order_demo,real_std,monomial_c,2,0.019498113147843586,0.01946430460982348,0.018860256731816964
beijing_order_demo,real_std,tanh_prod_c,2,0.1051993172877332,0.10492508219173595,0.044948719039913994
beijing_order_demo,real_std,pairwise_control,2,0.00886289954230689,0.00888440897459672,2.1399250174484335e-05
beijing_order_demo,gauss_scores,monomial_c,2,0.026470597560754143,0.02608429568909366,0.02277928023763353
beijing_order_demo,gauss_scores,tanh_prod_c,2,0.16061863097731105,0.1588598845571509,0.03264280247743461
beijing_order_demo,gauss_scores,pairwise_control,2,0.016293272267365877,0.0163950191844185,2.9870038917549745e-05
beijing_order_demo,permuted_gauss,monomial_c,2,0.9965180965386119,1.0221117639373012,1.0419888944833413
beijing_order_demo,permuted_gauss,tanh_prod_c,2,0.9987968624937804,1.0042736632044678,1.0109272175018482
beijing_order_demo,permuted_gauss,pairwise_control,2,0.018381283739551904,0.017984619037479173,3.82555183885957e-05
